year,month,averageTemp,cages,localities,numberSalmon,biomass,feedConsumption,restock,withdrawals
2007,January,4.9763514215,147,20,7471.245,19550.103627,2026.361,0,2292.696375
2007,February,4.0014986482,140,19,7279.141,18858.588738,1333.956,0,2327.503166
2007,March,3.4593511128,126,18,6497.596,15917.849943,1030.633,0,3205.103875
2007,April,4.0012314766,129,21,6796.742,14853.954311,1042.156,653.995,1911.79675
2007,May,4.733843502,161,25,9980.504,13506.040121,1368.472,3682.077,2413.46275
2007,June,5.8495567584,186,27,11010.096,13868.642796,2008.16,1277.703,1230.048459
2007,July,6.4271994461,206,25,11627.848,15629.916407,3451.4,958.463,1052.17
2007,August,7.3162389799,209,25,11656.155,19793.731835,5619.61,146.298,439.363
2007,September,7.732562135,220,27,12269.606,23371.029585,5672.008,948.532,1221.80025
2007,October,7.6438247474,216,27,11696.882,25689.357749,5528.209,0,2387.631375
2007,November,6.6630387199,207,28,11110.067,26080.937837,4259.457,0,2699.205347
2007,December,5.6714755362,199,26,10944.35,25658.134392,2857.517,408,2706.829578
2008,January,4.7137641712,181,27,10209.468,23297.20353,2341.808,0,2916.557
2008,February,3.9506308346,171,26,9724.482,21551.372823,1790.985,0,3716.670836
2008,March,3.2420179355,143,23,8677.156,17089.725774,1444.982,0,3404.52625
2008,April,3.0804859125,132,20,8288.958,15964.631434,1025.436,0,1899.228788
2008,May,3.7718246012,170,28,10853.143,16330.439851,1445.532,2312.712,1168.34625
2008,June,4.8336064869,214,30,14726.199,17507.328729,2737.825,4197.841,1768.678875
2008,July,5.7981735853,247,32,16531.919,20608.065382,4409.675,2162.087,116.377875
2008,August,6.48402151,256,32,17020.512,23465.822614,6033.277,1260.681,1409.633047
2008,September,6.8653579139,269,33,18043.591,25347.845465,6020.716,1853.5,3292.666657
2008,October,7.0704908947,261,34,17264.053,26890.605781,5424.004,0,3962.4156
2008,November,6.3493159943,253,33,16719.665,26173.89816,4163,381.119,4068.808861
2008,December,5.3497956157,239,34,15915.518,25309.879808,2822.831,0,3846.713445
2009,January,4.4701043097,226,27,15042.9,24031.227638,2308.819,0,2916.557
2009,February,3.5583378814,211,26,14244.888,21694.190436,1793.162,0,3482.258836
2009,March,3.0166161392,196,23,13456.716,19723.933371,1566.692,0,3404.52625
2009,April,3.0557118253,190,20,12998.124,18745.145358,1305.189,0,1899.228788
2009,May,3.9703721877,243,28,17301.512,19236.858901,1816.505,4002.352,1168.34625
2009,June,5.2310363959,277,30,20137.609,20197.98676,3218.458,3285.913,1768.678875
2009,July,5.9363543618,300,32,22100.244,25317.679665,5819.161,2093.742,116.377875
2009,August,6.6959923265,303,32,22094.609,31202.19121,9381.207,912.037,1409.633047
2009,September,7.72858051,311,33,22090.999,36182.730916,10091.828,983.108,3292.666657
2009,October,7.2398530241,300,34,20730.889,39958.561954,9146.66,0,3962.4156
2009,November,6.3833591032,285,33,19906.624,41649.946371,7130.267,177.211,4068.808861
2009,December,5.5071290229,283,34,19758.565,41831.312814,4864.937,709.151,3846.713445
2010,January,4.2117774041,245,31,18138.641,39109.466419,3355.444,0,4145.826946
2010,February,3.2184542433,246,31,17694.794,36588.669229,2421.411,0,5176.092813
2010,March,2.589713378,228,28,16554.491,32578.00051,1848.03,0,4975.717091
2010,April,2.7075445774,245,31,17582.713,29993.770477,1817.292,2326.29,3833.194086
2010,May,3.5184761526,274,36,20629.924,29478.117688,2889.19,4194.759,2307.10275
2010,June,4.6707859958,301,40,23584.755,32027.86147,5292.227,4029.518,1623.551625
2010,July,5.9045435803,309,39,24819.949,37444.6664,8414.26,1981.442,1524.327875
2010,August,6.6097903457,311,40,25454.682,41892.721223,11062.233,1966.771,4822.8365
2010,September,6.7356471965,300,39,24545.419,44390.08521,10739.453,639.095,5676.618413
2010,October,6.6784583022,289,39,24009.807,46697.402042,10160.567,892.543,5807.577375
2010,November,5.7650173028,277,37,23712.16,45896.672756,7111.882,1053.736,6103.820713
2010,December,4.5778551352,257,34,22506.945,44230.095265,5178.174,0,4087.11075
2011,January,3.479983963,246,35,21304.079,41182.266612,4224.556,0,5779.237599
2011,February,2.6213270461,228,32,20042.889,37131.351671,2772.267,0,5658.416769
2011,March,2.5180726648,218,31,19122.989,35194.386823,2478.106,0,3767.28325
2011,April,2.8616637741,218,33,19022.487,33036.362618,2359.097,806.522,3862.651625
2011,May,3.8825342767,244,36,23983.364,30781.447356,2945.876,6231.882,4595.080375
2011,June,4.9409414653,284,40,29171.849,33393.149502,4732.122,6054.449,1815.454125
2011,July,5.9721029097,308,39,31048.178,40041.958525,8465.119,2978.327,478.0575
2011,August,6.4355945198,320,39,32580.011,48212.103446,12980.11,2607.05,2692.8465
2011,September,6.9075838275,314,43,31546.953,54174.589389,13544.516,2335.296,4960.624125
2011,October,7.1371422114,304,40,31912.106,57195.977346,12601.857,806.444,8007.924577
2011,November,6.6154815959,294,37,30894.654,58329.231423,9936.417,394.674,7305.06675
2011,December,5.8791173874,280,37,29696.011,59579.844876,8187.232,0,5777.038
2012,January,4.8321788486,272,36,28638.038,59869.743698,6704.039,0,5149.63775
2012,February,3.6838461442,256,34,27163.641,55573.330933,4587.753,0,7280.236214
2012,March,3.5398018121,223,30,24514.889,46139.385707,4040.02,0,6444.376729
2012,April,3.730361517,232,32,24698.48,43746.309285,3457.754,1219.833,5016.38575
2012,May,4.5580774046,284,41,31663.255,46777.024774,4469.758,7578.278,5940.977625
2012,June,5.5254688949,303,42,33324.905,40896.431416,6101.095,4204.719,5676.785625
2012,July,6.269680696,356,45,36841.441,49838.98294,10477.264,4209.799,4460.983875
2012,August,6.999899536,374,45,37112.671,58545.707641,15924.037,1556.016,5343.23375
2012,September,7.6513701464,366,45,36118.35,64505.391439,15736.469,960.408,7899.790507
2012,October,7.0276193587,348,42,34112.403,65974.997268,14894.599,1363.317,8286.955125
2012,November,6.2463032742,334,42,32431.056,66520.249463,12193.34,287.42,8062.633125
2012,December,4.9248645866,327,42,32837.268,69805.170099,9295.22,644.76,6408.036
2013,January,4.1834612076,296,41,30713.615,65790.860246,7623.888,0,9869.58
2013,February,3.4593454542,259,36,28281.27,59952.495731,5654.396,0,9249.678
2013,March,2.8266193342,229,30,25776.199,52565.161066,4572.192,0,8019.512133
2013,April,2.6871763807,223,31,24963.572,51588.077429,3624.121,0,5272.28775
2013,May,3.7367057167,231,34,26009.686,46807.417277,4457.6,2286.812,8137.938375
2013,June,4.9090460595,287,41,33031.316,45970.733265,7169.007,8314.896,6977.721375
2013,July,6.4515195182,311,41,35294.353,52198.029601,12882.41,3226.456,4224.4245
2013,August,7.6564434616,317,40,35659.092,58828.338817,16835.029,2068.294,6742.693125
