year,month,averageTemp,cages,localities,numberSalmon,biomass,feedConsumption,restock,withdrawals
2007,January,5.18,340,44,22990,49003,4930,0,9060.49
2007,February,3.98,320,43,21833,46239,4038,0,5806.56
2007,March,3.73,300,42,21414,42975,4024,824.93,5596.55
2007,April,4.55,301,46,21449,40703,3729,1129.85,4830.81
2007,May,5.76,341,53,24717,40759,5288,4773.02,4787.94
2007,June,7.4,397,55,29430,40567,7782,5873.67,5047.32
2007,July,8.42,387,51,29047,44447,11959,1473.76,3677.62
2007,August,9.49,384,51,29140,51027,14935,1483.67,4263.28
2007,September,9.53,387,52,32079,55541,13931,4138.16,6231.22
2007,October,8.61,390,53,31672,57665,13523,2537.9,8076.12
2007,November,7.2,382,52,30571,57579,10671,1325.58,9275.73
2007,December,5.81,369,51,29329,55113,6798,366.4,7624.13
2008,January,4.66,333,46,25608,48012,5599,0,7668.01
2008,February,3.92,315,43,24983,44650,4611,0,4635.38
2008,March,3.41,283,38,23087,41262,4076,0,8602.79
2008,April,3.53,284,42,24120,39917,3730,1538.2,6463.43
2008,May,4.91,332,51,27064,38416,4763,4313.85,5651.17
2008,June,6.68,377,49,31291,39248,6885,5977.49,4890.86
2008,July,7.93,400,51,32340,44438,11429,3011.88,4800.08
2008,August,8.68,388,53,32282,51090,14823,1570.26,6889.09
2008,September,8.83,407,58,35201,58007,15311,4294.8,12092.96
2008,October,8.6,413,57,36286,59674,14273,2862.8,11903.82
2008,November,7.29,403,55,35017,57766,10454,775.38,13281.18
2008,December,5.62,382,55,33250,55702,7661,0,10384.1
2009,January,4.49,365,52,31698,53268,6427,175.8,7668.01
2009,February,3.43,353,50,30619,52356,5008,88.5,4635.38
2009,March,3.25,335,48,28885,47648,5203,0,8602.79
2009,April,3.58,336,53,30062,44863,4411,2487.94,6317.43
2009,May,5.28,381,57,33615,43814,5906,5062.9,4975.84
2009,June,7.06,456,60,39740,45956,8629,7568.01,4890.86
2009,July,7.96,455,56,39575,53370,14689,1329.23,4369.21
2009,August,9.06,452,59,40859,61672,18151,3293.45,6047.43
2009,September,9.89,444,59,40505,64728,17215,2456.85,11241.73
2009,October,8.69,432,58,40801,67019,17123,1987.88,11391.52
2009,November,7.32,406,55,38249,66597,13998,0,12003.72
2009,December,5.7,382,52,36251,65496,10017,0,9263.46
2010,January,4.05,360,48,31698,62517.823601,6932,0,8419.45
2010,February,3.12,341,47,28885,60772.090862,5750,0,6028.73
2010,March,2.51,321,46,33615,58793.808891,5690,0,6058.2
2010,April,3.25,319,50,39575,56739.576046,4989,2860.79,4577.44
2010,May,4.79,383,55,40505,57162.147964,7459,6864.4,5406.64
2010,June,6.41,437,57,38249,56611.735528,11138,3580.9,6740.99
2010,July,7.86,435,51,37067,62524.322989,15985,1544.69,6887.81
2010,August,8.69,432,59,38949,66392.150819,19424,4868.89,12882.89
2010,September,8.52,417,55,37689,69288.427002,17896,2065.67,12799.43
2010,October,8.26,420,53,38415,70333.041459,15923,3349.37,11964.21
2010,November,6.5,415,53,36859,69046.918277,13252,519.07,13127.32
2010,December,4.85,393,50,35141,67737.113066,9301,0,9047.69
2011,January,3.6,375,49,33525,65164,6959,0,7856.06
2011,February,2.84,360,45,32216,61939,4924,0,7151.16
2011,March,2.79,338,44,30410,56742,4688,0,8704.31
2011,April,3.38,335,47,30904,54885,4914,1969.65,5592.77
2011,May,4.96,358,52,35467,54746,7080,5819.71,6204.52
2011,June,6.77,428,56,39400,55028,9384,6773.61,8059.32
2011,July,8.07,427,54,39892,57925,15017,2319.37,9359.8
2011,August,8.47,435,59,42090,65991,18930,4274.74,7790.74
2011,September,8.82,436,57,43016,69178,19143,3904.14,12205.81
2011,October,8.68,446,53,45165,71943,17538,4007.69,12136.18
2011,November,7.88,421,53,42730,70666,13656,288.04,13529.95
2011,December,6.48,398,49,40320,68546,10603,0,10240.9
2012,January,4.88,380,49,38692,67419,9516,0,9116.34
2012,February,3.7,353,45,35143,65215,6883,0,7862.54
2012,March,3.67,340,44,34028,65183,6638,0,7397.5
2012,April,4.08,337,49,36983,62331,6563,5032.5,6474.3
2012,May,5.14,369,55,41642,60220,8119,6609.29,8888.6
2012,June,6.67,421,55,44712,61237,11766,5187.07,10009.19
2012,July,8.17,411,53,44330,65857,17310,1815.4,7358.49
2012,August,9.11,436,57,46769,76853,22633,2655.49,11214.96
2012,September,9.39,459,57,51156,82537,21961,6868.8,12894.34
2012,October,8.19,458,55,50470,86384,20533,2245.04,15645.46
2012,November,6.7,441,56,47912,84381,17013,360.48,16765.38
2012,December,4.95,405,51,44471,77606,12028,0,14839.13
2013,January,4.09,392,50,42170,73838,9281,0,12468.89
2013,February,3.32,370,44,40886,71332,7183,0,7078.07
2013,March,2.8,352,44,39444,70404,6587,0,7666
2013,April,2.99,351,49,40709,66052,5727,3672.54,8601.3
2013,May,4.91,402,56,46768,62251,8225,9458.55,10898.93
2013,June,6.88,437,56,51655,69778,13325,5594.94,7630.86
2013,July,8.95,454,57,50302,72726,20532,2162.19,9413.75
2013,August,10.11,461,56,51519,83659,25397,3996.37,10525.63
2013,September,10.23,463,56,51505,86090,23184,4039.75,14868.16
2013,October,8.82,475,58,53556,89848,22540,5501.07,17124.1
