County,date,averageTemperature
Agder og Rogaland,2006-10,8.36030608986
Agder og Rogaland,2006-11,8.40482652535
Agder og Rogaland,2006-12,8.32019817455
Agder og Rogaland,2007-01,7.93366466578
Agder og Rogaland,2007-02,7.20338431812
Agder og Rogaland,2007-03,6.65965281295
Agder og Rogaland,2007-04,6.75903113586
Agder og Rogaland,2007-05,7.10382189596
Agder og Rogaland,2007-06,7.5889091765
Agder og Rogaland,2007-07,8.31690598817
Agder og Rogaland,2007-08,8.60818233253
Agder og Rogaland,2007-09,8.68729542739
Agder og Rogaland,2007-10,8.16713890223
Agder og Rogaland,2007-11,8.04355336911
Agder og Rogaland,2007-12,7.8148125252
Agder og Rogaland,2008-01,7.16335297291
Agder og Rogaland,2008-02,6.61251323358
Agder og Rogaland,2008-03,6.33640566101
Agder og Rogaland,2008-04,6.5371089554
Agder og Rogaland,2008-05,7.08726819258
Agder og Rogaland,2008-06,7.56880407846
Agder og Rogaland,2008-07,8.18487268023
Agder og Rogaland,2008-08,8.42478689169
Agder og Rogaland,2008-09,8.29768252346
Agder og Rogaland,2008-10,8.73609778442
Agder og Rogaland,2008-11,7.96090635991
Agder og Rogaland,2008-12,7.45264220044
Agder og Rogaland,2009-01,7.05922657915
Agder og Rogaland,2009-02,6.58770012789
Agder og Rogaland,2009-03,6.19294850443
Agder og Rogaland,2009-04,6.24425898339
Agder og Rogaland,2009-05,6.68808338556
Agder og Rogaland,2009-06,7.12024532594
Agder og Rogaland,2009-07,7.969770021
Agder og Rogaland,2009-08,8.52469760987
Agder og Rogaland,2009-09,8.54970458031
Agder og Rogaland,2009-10,8.07881896293
Agder og Rogaland,2009-11,7.79303552243
Agder og Rogaland,2009-12,7.34702052624
Agder og Rogaland,2010-01,6.86425822083
Agder og Rogaland,2010-02,6.49588905874
Agder og Rogaland,2010-03,6.34708537335
Agder og Rogaland,2010-04,6.39926579802
Agder og Rogaland,2010-05,6.57398921544
Agder og Rogaland,2010-06,6.68073470626
Agder og Rogaland,2010-07,7.34849251692
Agder og Rogaland,2010-08,7.8164642447
Agder og Rogaland,2010-09,7.8481093312
Agder og Rogaland,2010-10,7.49427994423
Agder og Rogaland,2010-11,7.20813862778
Agder og Rogaland,2010-12,6.50847856518
Agder og Rogaland,2011-01,6.25411732527
Agder og Rogaland,2011-02,5.44387988219
Agder og Rogaland,2011-03,5.11814242538
Agder og Rogaland,2011-04,5.20343148792
Agder og Rogaland,2011-05,5.90784156514
Agder og Rogaland,2011-06,6.71602712357
Agder og Rogaland,2011-07,7.18728644039
Agder og Rogaland,2011-08,7.66849057579
Agder og Rogaland,2011-09,8.15998096629
Agder og Rogaland,2011-10,7.8805067916
Agder og Rogaland,2011-11,7.43065406323
Agder og Rogaland,2011-12,7.80366427906
Agder og Rogaland,2012-01,7.12664981287
Agder og Rogaland,2012-02,6.42609471314
Agder og Rogaland,2012-03,5.92270356673
Agder og Rogaland,2012-04,6.35555099837
Agder og Rogaland,2012-05,6.82952665075
Agder og Rogaland,2012-06,7.29452209344
Agder og Rogaland,2012-07,7.73725226072
Agder og Rogaland,2012-08,7.96908914443
Agder og Rogaland,2012-09,8.35248797647
Agder og Rogaland,2012-10,7.77572670072
Agder og Rogaland,2012-11,7.74137808493
Agder og Rogaland,2012-12,6.96931780427
Agder og Rogaland,2013-01,6.5879657704
Agder og Rogaland,2013-02,6.17673099556
Agder og Rogaland,2013-03,5.87980460857
Agder og Rogaland,2013-04,5.90020563928
Agder og Rogaland,2013-05,6.10066753937
Agder og Rogaland,2013-06,6.56165168112
Agder og Rogaland,2013-07,7.15765908584
Agder og Rogaland,2013-08,7.70556404657
Agder og Rogaland,2013-09,7.80496091707
Agder og Rogaland,2013-10,7.42808530912
Agder og Rogaland,2013-11,7.60251045875
Agder og Rogaland,2013-12,7.39512385881
Agder og Rogaland,2014-01,6.57241241443
Agder og Rogaland,2014-02,6.12528781189
Agder og Rogaland,2014-03,5.99124321926
Agder og Rogaland,2014-04,6.17337210482
Agder og Rogaland,2014-05,6.66035814116
Agder og Rogaland,2014-06,7.03093445618
Agder og Rogaland,2014-07,7.7275632017
Agder og Rogaland,2014-08,8.34852588146
Agder og Rogaland,2014-09,7.92161113276
Agder og Rogaland,2014-10,8.26884069765
Agder og Rogaland,2014-11,7.7382007889
Agder og Rogaland,2014-12,7.6072336346
