County,date,averageTemperature
Møre og Romsdal,2006-10,11.0556285645
Møre og Romsdal,2006-11,9.51006397938
Møre og Romsdal,2006-12,8.99861520951
Møre og Romsdal,2007-01,7.66429473085
Møre og Romsdal,2007-02,6.30647126323
Møre og Romsdal,2007-03,6.10818697997
Møre og Romsdal,2007-04,6.57617271195
Møre og Romsdal,2007-05,7.71671625683
Møre og Romsdal,2007-06,8.65841703356
Møre og Romsdal,2007-07,9.62350948283
Møre og Romsdal,2007-08,11.0448956764
Møre og Romsdal,2007-09,10.4069569737
Møre og Romsdal,2007-10,9.98024498466
Møre og Romsdal,2007-11,8.54418956527
Møre og Romsdal,2007-12,7.12056926136
Møre og Romsdal,2008-01,6.21598340071
Møre og Romsdal,2008-02,5.65997890236
Møre og Romsdal,2008-03,5.72758324196
Møre og Romsdal,2008-04,6.12786923259
Møre og Romsdal,2008-05,7.51499711215
Møre og Romsdal,2008-06,8.80669350809
Møre og Romsdal,2008-07,10.1249932361
Møre og Romsdal,2008-08,10.8979716385
Møre og Romsdal,2008-09,11.5377621317
Møre og Romsdal,2008-10,11.0429029817
Møre og Romsdal,2008-11,9.12529765579
Møre og Romsdal,2008-12,7.263720415
Møre og Romsdal,2009-01,6.17989305971
Møre og Romsdal,2009-02,5.43333301002
Møre og Romsdal,2009-03,5.30520476257
Møre og Romsdal,2009-04,6.10527801291
Møre og Romsdal,2009-05,7.80012351734
Møre og Romsdal,2009-06,8.75947052665
Møre og Romsdal,2009-07,9.4129155583
Møre og Romsdal,2009-08,11.5334969082
Møre og Romsdal,2009-09,12.0905059218
Møre og Romsdal,2009-10,10.1252449779
Møre og Romsdal,2009-11,8.79233313377
Møre og Romsdal,2009-12,7.53144872095
Møre og Romsdal,2010-01,5.66560743756
Møre og Romsdal,2010-02,4.94614069456
Møre og Romsdal,2010-03,4.90971926617
Møre og Romsdal,2010-04,5.68405110655
Møre og Romsdal,2010-05,7.00226226607
Møre og Romsdal,2010-06,8.07726446261
Møre og Romsdal,2010-07,10.0094199985
Møre og Romsdal,2010-08,10.4243834867
Møre og Romsdal,2010-09,10.3099102423
Møre og Romsdal,2010-10,9.67444779942
Møre og Romsdal,2010-11,8.26762368966
Møre og Romsdal,2010-12,6.1728507777
Møre og Romsdal,2011-01,5.08418962122
Møre og Romsdal,2011-02,4.7965153371
Møre og Romsdal,2011-03,4.45190268786
Møre og Romsdal,2011-04,5.27516880065
Møre og Romsdal,2011-05,6.80655826131
Møre og Romsdal,2011-06,8.0133128828
Møre og Romsdal,2011-07,8.20938625908
Møre og Romsdal,2011-08,9.39830406324
Møre og Romsdal,2011-09,11.3621742931
Møre og Romsdal,2011-10,10.7971924386
Møre og Romsdal,2011-11,9.31822445115
Møre og Romsdal,2011-12,7.8006656965
Møre og Romsdal,2012-01,6.76682144446
Møre og Romsdal,2012-02,5.38816157556
Møre og Romsdal,2012-03,5.71102591916
Møre og Romsdal,2012-04,6.21965019813
Møre og Romsdal,2012-05,7.16216308793
Møre og Romsdal,2012-06,8.14988214221
Møre og Romsdal,2012-07,9.52768069454
Møre og Romsdal,2012-08,10.4570404176
Møre og Romsdal,2012-09,11.2523820662
Møre og Romsdal,2012-10,9.84380263883
Møre og Romsdal,2012-11,8.55242829977
Møre og Romsdal,2012-12,6.97246170294
Møre og Romsdal,2013-01,5.61144058662
Møre og Romsdal,2013-02,4.58353814513
Møre og Romsdal,2013-03,4.77540366355
Møre og Romsdal,2013-04,5.02897792496
Møre og Romsdal,2013-05,6.48812921207
Møre og Romsdal,2013-06,7.98564959617
Møre og Romsdal,2013-07,9.68800926624
Møre og Romsdal,2013-08,10.8127694836
Møre og Romsdal,2013-09,11.0102548223
Møre og Romsdal,2013-10,9.9778730355
Møre og Romsdal,2013-11,9.19649697882
Møre og Romsdal,2013-12,7.69283820906
Møre og Romsdal,2014-01,6.59580848236
Møre og Romsdal,2014-02,5.15374324528
Møre og Romsdal,2014-03,5.20683946312
Møre og Romsdal,2014-04,5.97172452495
Møre og Romsdal,2014-05,7.35932688294
Møre og Romsdal,2014-06,8.58033314369
Møre og Romsdal,2014-07,9.47505700208
Møre og Romsdal,2014-08,10.7394842845
Møre og Romsdal,2014-09,11.0031320736
Møre og Romsdal,2014-10,10.9136680181
Møre og Romsdal,2014-11,9.67658649496
Møre og Romsdal,2014-12,7.98958624102
