County,date,averageTemperature
Nord-Trøndelag,2006-10,9.2275769892
Nord-Trøndelag,2006-11,8.0941370727
Nord-Trøndelag,2006-12,7.8402223522
Nord-Trøndelag,2007-01,6.8261918439
Nord-Trøndelag,2007-02,5.7581014753
Nord-Trøndelag,2007-03,5.3588070225
Nord-Trøndelag,2007-04,6.0432003957
Nord-Trøndelag,2007-05,7.2950826392
Nord-Trøndelag,2007-06,8.65334205
Nord-Trøndelag,2007-07,9.4652412945
Nord-Trøndelag,2007-08,10.2445926623
Nord-Trøndelag,2007-09,9.4566103048
Nord-Trøndelag,2007-10,8.7028202265
Nord-Trøndelag,2007-11,7.5374133792
Nord-Trøndelag,2007-12,6.4597393781
Nord-Trøndelag,2008-01,5.8203362535
Nord-Trøndelag,2008-02,5.190199034
Nord-Trøndelag,2008-03,5.4242865839
Nord-Trøndelag,2008-04,5.9411861458
Nord-Trøndelag,2008-05,7.2872561754
Nord-Trøndelag,2008-06,8.5950140605
Nord-Trøndelag,2008-07,9.5179564896
Nord-Trøndelag,2008-08,9.9570577373
Nord-Trøndelag,2008-09,9.7275924722
Nord-Trøndelag,2008-10,9.3580323905
Nord-Trøndelag,2008-11,7.8448536585
Nord-Trøndelag,2008-12,6.4728892823
Nord-Trøndelag,2009-01,5.6064997873
Nord-Trøndelag,2009-02,5.0435378919
Nord-Trøndelag,2009-03,4.8746574693
Nord-Trøndelag,2009-04,5.5716112825
Nord-Trøndelag,2009-05,7.1645211417
Nord-Trøndelag,2009-06,8.2968598889
Nord-Trøndelag,2009-07,8.9556829137
Nord-Trøndelag,2009-08,10.0692899295
Nord-Trøndelag,2009-09,10.5497885338
Nord-Trøndelag,2009-10,8.8268792194
Nord-Trøndelag,2009-11,7.6804606124
Nord-Trøndelag,2009-12,6.6688285582
Nord-Trøndelag,2010-01,5.4821268411
Nord-Trøndelag,2010-02,4.6884089856
Nord-Trøndelag,2010-03,4.2087406318
Nord-Trøndelag,2010-04,5.0449811711
Nord-Trøndelag,2010-05,6.4392796554
Nord-Trøndelag,2010-06,7.7628723754
Nord-Trøndelag,2010-07,9.1694417481
Nord-Trøndelag,2010-08,9.7069007723
Nord-Trøndelag,2010-09,9.3690283094
Nord-Trøndelag,2010-10,8.3467248451
Nord-Trøndelag,2010-11,7.0979419143
Nord-Trøndelag,2010-12,5.5664816772
Nord-Trøndelag,2011-01,4.7358115221
Nord-Trøndelag,2011-02,4.6231836228
Nord-Trøndelag,2011-03,4.1420846087
Nord-Trøndelag,2011-04,4.8861068444
Nord-Trøndelag,2011-05,6.7287069397
Nord-Trøndelag,2011-06,8.2129552543
Nord-Trøndelag,2011-07,8.8522363037
Nord-Trøndelag,2011-08,8.9419723724
Nord-Trøndelag,2011-09,9.4817707276
Nord-Trøndelag,2011-10,9.0999385549
Nord-Trøndelag,2011-11,8.2040443769
Nord-Trøndelag,2011-12,7.2325960072
Nord-Trøndelag,2012-01,6.0833619489
Nord-Trøndelag,2012-02,5.1648966189
Nord-Trøndelag,2012-03,5.1854596038
Nord-Trøndelag,2012-04,5.8310970152
Nord-Trøndelag,2012-05,7.0095151182
Nord-Trøndelag,2012-06,8.1480684515
Nord-Trøndelag,2012-07,9.0187043058
Nord-Trøndelag,2012-08,9.7471845298
Nord-Trøndelag,2012-09,9.775817966
Nord-Trøndelag,2012-10,8.4249713521
Nord-Trøndelag,2012-11,7.2541513559
Nord-Trøndelag,2012-12,5.8922915734
Nord-Trøndelag,2013-01,5.3844375202
Nord-Trøndelag,2013-02,4.7859911076
Nord-Trøndelag,2013-03,4.4882136277
Nord-Trøndelag,2013-04,4.5581121968
Nord-Trøndelag,2013-05,5.9961495962
Nord-Trøndelag,2013-06,7.8314311997
Nord-Trøndelag,2013-07,9.3581022567
Nord-Trøndelag,2013-08,9.9704801982
Nord-Trøndelag,2013-09,9.8397894379
Nord-Trøndelag,2013-10,8.5914169238
Nord-Trøndelag,2013-11,7.9129133682
Nord-Trøndelag,2013-12,6.7665834217
Nord-Trøndelag,2014-01,5.8985473916
Nord-Trøndelag,2014-02,5.0348260907
Nord-Trøndelag,2014-03,4.8815092895
Nord-Trøndelag,2014-04,5.5525230488
Nord-Trøndelag,2014-05,6.9065679009
Nord-Trøndelag,2014-06,8.3971807369
Nord-Trøndelag,2014-07,9.2759442554
Nord-Trøndelag,2014-08,10.029733257
Nord-Trøndelag,2014-09,9.8293242071
Nord-Trøndelag,2014-10,8.9440268769
Nord-Trøndelag,2014-11,7.8257110531
Nord-Trøndelag,2014-12,7.1038337217
