County,date,averageTemperature
Sogn og Fjordane,2006-10,11.0534785014
Sogn og Fjordane,2006-11,10.018206092
Sogn og Fjordane,2006-12,9.17633275236
Sogn og Fjordane,2007-01,8.25597822185
Sogn og Fjordane,2007-02,7.23297262114
Sogn og Fjordane,2007-03,6.61796560391
Sogn og Fjordane,2007-04,6.93321496701
Sogn og Fjordane,2007-05,7.6411039908
Sogn og Fjordane,2007-06,8.30329203515
Sogn og Fjordane,2007-07,9.46214842868
Sogn og Fjordane,2007-08,10.7212787107
Sogn og Fjordane,2007-09,10.3397530714
Sogn og Fjordane,2007-10,10.09258042
Sogn og Fjordane,2007-11,8.79318629583
Sogn og Fjordane,2007-12,7.74266005079
Sogn og Fjordane,2008-01,6.77879052577
Sogn og Fjordane,2008-02,6.17552849542
Sogn og Fjordane,2008-03,6.21231547669
Sogn og Fjordane,2008-04,6.48173994047
Sogn og Fjordane,2008-05,7.48830095663
Sogn og Fjordane,2008-06,8.53340582872
Sogn og Fjordane,2008-07,9.97381035167
Sogn og Fjordane,2008-08,10.728022352
Sogn og Fjordane,2008-09,11.288558486
Sogn og Fjordane,2008-10,10.9989957718
Sogn og Fjordane,2008-11,9.23679274601
Sogn og Fjordane,2008-12,7.85270410466
Sogn og Fjordane,2009-01,6.8680991779
Sogn og Fjordane,2009-02,6.23658418722
Sogn og Fjordane,2009-03,5.7897426591
Sogn og Fjordane,2009-04,6.37177811993
Sogn og Fjordane,2009-05,7.55929569851
Sogn og Fjordane,2009-06,7.99409380236
Sogn og Fjordane,2009-07,9.22379686498
Sogn og Fjordane,2009-08,11.0933960843
Sogn og Fjordane,2009-09,11.3202787441
Sogn og Fjordane,2009-10,10.2380998144
Sogn og Fjordane,2009-11,9.16094766113
Sogn og Fjordane,2009-12,8.22366899905
Sogn og Fjordane,2010-01,6.69632996254
Sogn og Fjordane,2010-02,5.92273901278
Sogn og Fjordane,2010-03,5.66127598758
Sogn og Fjordane,2010-04,6.09351601511
Sogn og Fjordane,2010-05,6.99586030139
Sogn og Fjordane,2010-06,7.58009453904
Sogn og Fjordane,2010-07,9.48911873024
Sogn og Fjordane,2010-08,9.99016959037
Sogn og Fjordane,2010-09,9.89731916069
Sogn og Fjordane,2010-10,9.54134126992
Sogn og Fjordane,2010-11,8.50433314477
Sogn og Fjordane,2010-12,6.94513768685
Sogn og Fjordane,2011-01,5.76917210116
Sogn og Fjordane,2011-02,5.12178087893
Sogn og Fjordane,2011-03,4.83820722555
Sogn og Fjordane,2011-04,5.06808065311
Sogn og Fjordane,2011-05,6.38555904198
Sogn og Fjordane,2011-06,7.44492201019
Sogn og Fjordane,2011-07,8.10605850524
Sogn og Fjordane,2011-08,9.8703173881
Sogn og Fjordane,2011-09,11.1957368997
Sogn og Fjordane,2011-10,10.3857301924
Sogn og Fjordane,2011-11,9.34019729572
Sogn og Fjordane,2011-12,8.26310980991
Sogn og Fjordane,2012-01,7.27488472917
Sogn og Fjordane,2012-02,5.94673995443
Sogn og Fjordane,2012-03,5.79871736476
Sogn og Fjordane,2012-04,6.58550058385
Sogn og Fjordane,2012-05,7.17956286495
Sogn og Fjordane,2012-06,7.83288015689
Sogn og Fjordane,2012-07,9.27978805268
Sogn og Fjordane,2012-08,10.1320297595
Sogn og Fjordane,2012-09,10.9826539379
Sogn og Fjordane,2012-10,9.99109186051
Sogn og Fjordane,2012-11,8.96318849072
Sogn og Fjordane,2012-12,7.65954721918
Sogn og Fjordane,2013-01,6.39673781323
Sogn og Fjordane,2013-02,5.37460576438
Sogn og Fjordane,2013-03,5.40651970299
Sogn og Fjordane,2013-04,5.51083908464
Sogn og Fjordane,2013-05,6.22871593192
Sogn og Fjordane,2013-06,7.35462097804
Sogn og Fjordane,2013-07,8.90274315519
Sogn og Fjordane,2013-08,10.1679172047
Sogn og Fjordane,2013-09,10.5086444055
Sogn og Fjordane,2013-10,9.88518025388
Sogn og Fjordane,2013-11,9.30466719429
Sogn og Fjordane,2013-12,8.1077950446
Sogn og Fjordane,2014-01,6.93573879505
Sogn og Fjordane,2014-02,5.7279868134
Sogn og Fjordane,2014-03,5.53958918894
Sogn og Fjordane,2014-04,6.15711219577
Sogn og Fjordane,2014-05,7.16282348527
Sogn og Fjordane,2014-06,7.76759895113
Sogn og Fjordane,2014-07,9.29992234109
Sogn og Fjordane,2014-08,10.4396416549
Sogn og Fjordane,2014-09,10.6361370576
Sogn og Fjordane,2014-10,10.7960655523
Sogn og Fjordane,2014-11,9.61416718285
Sogn og Fjordane,2014-12,8.45666316511
