County,date,averageTemperature
Troms,2006-10,8.28854878868
Troms,2006-11,6.70832912271
Troms,2006-12,6.09791546468
Troms,2007-01,5.18401308469
Troms,2007-02,3.9807507383
Troms,2007-03,3.72880821496
Troms,2007-04,4.55337139411
Troms,2007-05,5.76004230323
Troms,2007-06,7.40033397894
Troms,2007-07,8.41846077592
Troms,2007-08,9.48630012821
Troms,2007-09,9.52835098614
Troms,2007-10,8.61151998471
Troms,2007-11,7.20242006067
Troms,2007-12,5.81310819594
Troms,2008-01,4.65641300291
Troms,2008-02,3.92458347265
Troms,2008-03,3.41136843508
Troms,2008-04,3.52653057577
Troms,2008-05,4.90551519076
Troms,2008-06,6.68290524974
Troms,2008-07,7.93371755228
Troms,2008-08,8.68341617345
Troms,2008-09,8.8333136459
Troms,2008-10,8.59819830567
Troms,2008-11,7.28648786003
Troms,2008-12,5.6189708353
Troms,2009-01,4.49171652942
Troms,2009-02,3.4311953302
Troms,2009-03,3.24552859128
Troms,2009-04,3.5753872523
Troms,2009-05,5.278658088
Troms,2009-06,7.0581813277
Troms,2009-07,7.9618944432
Troms,2009-08,9.05988585297
Troms,2009-09,9.8936485845
Troms,2009-10,8.69406762253
Troms,2009-11,7.31707982187
Troms,2009-12,5.70207484168
Troms,2010-01,4.05351961282
Troms,2010-02,3.12489422122
Troms,2010-03,2.50937835484
Troms,2010-04,3.24516720231
Troms,2010-05,4.78920306711
Troms,2010-06,6.40589875903
Troms,2010-07,7.85965759518
Troms,2010-08,8.68522828595
Troms,2010-09,8.51876351475
Troms,2010-10,8.26040215932
Troms,2010-11,6.49774731646
Troms,2010-12,4.84959401172
Troms,2011-01,3.59854182282
Troms,2011-02,2.83784446373
Troms,2011-03,2.78942943009
Troms,2011-04,3.3819130388
Troms,2011-05,4.96079592792
Troms,2011-06,6.76996736535
Troms,2011-07,8.07360164218
Troms,2011-08,8.47213371321
Troms,2011-09,8.82315287118
Troms,2011-10,8.67631350773
Troms,2011-11,7.88331286036
Troms,2011-12,6.48444958263
Troms,2012-01,4.88088158413
Troms,2012-02,3.7007513141
Troms,2012-03,3.67378365826
Troms,2012-04,4.07872544509
Troms,2012-05,5.136310046
Troms,2012-06,6.66997264656
Troms,2012-07,8.17091608789
Troms,2012-08,9.11203154473
Troms,2012-09,9.38722106238
Troms,2012-10,8.18509391827
Troms,2012-11,6.69534089796
Troms,2012-12,4.95106389386
Troms,2013-01,4.0945961909
Troms,2013-02,3.32494467938
Troms,2013-03,2.80299667471
Troms,2013-04,2.9902118677
Troms,2013-05,4.90818345753
Troms,2013-06,6.87657271905
Troms,2013-07,8.95112431389
Troms,2013-08,10.1100394578
Troms,2013-09,10.2256152841
Troms,2013-10,8.81611940297
Troms,2013-11,7.08814681791
Troms,2013-12,5.60954645259
Troms,2014-01,4.49629081001
Troms,2014-02,3.57679607406
Troms,2014-03,3.5309216908
Troms,2014-04,3.84458172348
Troms,2014-05,5.22124973718
Troms,2014-06,6.93419675684
Troms,2014-07,8.21585930945
Troms,2014-08,9.04045557415
Troms,2014-09,9.15394904243
Troms,2014-10,8.23254588355
Troms,2014-11,6.76454999185
Troms,2014-12,5.93933781131
