year,month,averageSeaTemp,cages,localities,numberSalmon,biomass,feedConsumption,restock,withdrawals
2007,January,7.6642947309,398,70,28566.944,47423.996262,6288.06,320.033,5070.077607
2007,February,6.3064712632,394,68,27814.074,48102.257837,5338.527,0,4167.850369
2007,March,6.10818698,384,63,26218.225,47329.58206,6456.887,199.744,5178.670793
2007,April,6.576172712,409,71,30093.007,51268.229643,7198.253,3778.961,3956.940764
2007,May,7.7167162568,441,75,34653.828,50961.238149,8487.451,6475.151,7125.738295
2007,June,8.6584170336,447,70,34643.544,53692.502137,10399.339,1507.449,4275.517659
2007,July,9.6235094828,452,73,34807.05,60318.179981,13686.042,1212.136,5435.518735
2007,August,11.0448956764,431,70,32933.736,58491.981209,14050.557,1416.657,13267.711577
2007,September,10.4069569737,429,70,33129.327,58653.988499,12703.222,2580.088,10478.879149
2007,October,9.9802449847,446,73,34805.158,58665.136234,12506.375,3565.064,11013.997158
2007,November,8.5441895653,497,72,39667.656,64018.82165,10357.011,2493.342,11334.135354
2007,December,7.1205692614,411,68,33499.482,55983.534561,7725.535,5.596,6177.422489
2008,January,6.2159834007,373,63,30847.84,52315.477593,6338.004,223.1,5432.081631
2008,February,5.6599789024,369,63,30556.575,54103.952647,6070.213,106.8,5644.191515
2008,March,5.727583242,319,59,28318.355,52357.737141,5790.55,424.125,5733.90425
2008,April,6.1278692326,314,55,29661.621,53385.969132,6672.323,2281.291,8598.812335
2008,May,7.5149971122,344,62,35466.838,53516.235042,8883.968,8163.594,6924.934056
2008,June,8.8066935081,362,64,36056.873,55828.348784,10103.298,2021.164,8305.342149
2008,July,10.1249932361,340,63,34468.456,53023.762869,11914.942,1086.193,7552.324671
2008,August,10.8979716385,352,65,33923.718,56832.594485,13265.322,1431.382,11695.720625
2008,September,11.5377621317,365,63,35493.839,58349.26079,12954.767,3523.889,10378.048304
2008,October,11.0429029817,371,68,39631.517,63228.484284,14891.765,4981.565,7930.662944
2008,November,9.1252976558,371,68,38842.441,63507.017088,12176.94,1680.657,10592.114923
2008,December,7.263720415,360,66,36717.842,59424.352917,9557.325,591.539,12900.20349
2009,January,6.1798930597,343,60,35186.94,60599.465017,8062.849,0,5432.081631
2009,February,5.43333301,327,55,32278.681,57640.159243,6426.394,0,5644.191515
2009,March,5.3052047626,310,54,31605.882,57299.248356,6332.603,812.623,5733.90425
2009,April,6.1052780129,321,57,32282.078,53452.053514,6561.285,2777.318,8598.812335
2009,May,7.8001235173,335,56,36585.803,54416.725573,8811.69,6058.485,6924.934056
2009,June,8.7594705267,323,53,35786.272,53337.284675,11400.643,2728.508,8305.342149
2009,July,9.4129155583,355,56,37932.781,61756.881088,15146.75,3413.624,7552.324671
2009,August,11.5334969082,358,60,38345.342,64716.095235,17907.594,3229.477,11695.720625
2009,September,12.0905059218,375,65,39254.567,67300.517205,15572.333,3157.842,10378.048304
2009,October,10.1252449779,359,66,40534.909,72274.747289,16456.8,3187.533,7930.662944
2009,November,8.7923331338,341,63,38154.37,71806.100841,14439.542,1458.912,10592.114923
2009,December,7.531448721,318,59,35550.094,67153.52251,11414.762,216.852,12900.20349
2010,January,5.6656074376,301,54,33872.583,66879.406167,8891.781,0,7426.963264
2010,February,4.9461406946,296,51,32891.344,68523.165612,6865.842,0,3700.124603
2010,March,4.9097192662,298,54,32434.545,65340.208038,7019.348,1472.807,8673.153688
2010,April,5.6840511066,302,58,33518.098,63992.050124,7581.064,2951.154,6608.745336
2010,May,7.0022622661,324,63,37147.799,61933.851087,9945.779,5885.388,9860.13148
2010,June,8.0772644626,311,59,36503.477,61281.626936,11420.602,1907.86,9489.733643
2010,July,10.0094199985,331,61,35719.68,64869.334447,15633.211,2201.922,9552.965911
2010,August,10.4243834867,333,62,35113.854,69652.007901,18397.713,1862.168,8628.243192
2010,September,10.3099102423,343,64,35389.48,74584.598841,18566.704,2525.128,8995.047253
2010,October,9.6744477994,472,69,43755.407,73985.430547,16330.323,5951.733,12017.502526
2010,November,8.2676236897,336,63,38503.222,72603.950783,13314.748,2336.438,11629.070389
2010,December,6.1728507777,334,62,36547.787,69809.685086,9691.789,489.494,10606.766582
2011,January,5.0841896212,321,56,34283.5,65910.515409,8075.919,0,10374.749653
2011,February,4.7965153371,308,55,32324.978,62565.113063,6662.212,0,7888.839501
2011,March,4.4519026879,304,58,32461.112,58223.584973,6051.593,857.911,11784.192318
2011,April,5.2751688007,304,60,32025.585,56687.036064,6894.647,1364.889,6914.196214
2011,May,6.8065582613,355,63,38678.706,61316.85311,10844.727,6976.485,4858.390836
2011,June,8.0133128828,355,61,38581.019,67078.138492,14542.473,1485.79,5501.177787
2011,July,8.2093862591,356,59,37694.326,73463.551189,17741.512,1088.263,6973.37335
2011,August,9.3983040632,352,63,37476.079,77933.890912,21549.642,2299.095,13469.290516
2011,September,11.3621742931,354,64,37256.572,79469.175458,20544.331,3215.902,13963.943922
2011,October,10.7971924386,346,61,37634.138,72648.595027,14852.816,3815.245,15967.805823
2011,November,9.3182244512,322,57,35699.716,69828.361278,13807.123,811.86,16307.811664
2011,December,7.8006656965,288,54,31446.819,68073.374596,11265.187,4.8,10533.854017
2012,January,6.7668214445,268,51,29109.213,64814.405956,9853.999,0,10982.981756
2012,February,5.3881615756,257,46,27801.188,66200.518622,8743.333,0,5123.370035
