year,month,averageTemp,cages,localities,numberSalmon,biomass,feedConsumption,restock,withdrawals
2007,January,6.8261918439,278,32,19724.528,41678.91121,4904.394,0,4895.320223
2007,February,5.7581014753,266,28,18939.192,40957.623628,3749.37,0,4252.816972
2007,March,5.3588070225,261,27,17927.798,39034.720162,4464.936,0,5548.0595
2007,April,6.0432003957,263,29,18157.868,37221.227253,4359.164,932.583,5262.244125
2007,May,7.2950826392,293,40,22076.72,38112.404852,5586.175,4519.95,4439.197428
2007,June,8.65334205,277,37,22431.516,38706.671101,6634.133,1518.1,5040.887781
2007,July,9.4652412945,267,34,21235.794,40343.831737,9185.538,321.182,6416.543759
2007,August,10.2445926623,253,33,20752.451,44087.985491,11840.723,901.15,6791.178625
2007,September,9.4566103048,258,36,21477.825,45389.781199,10702.679,2280.859,8007.283003
2007,October,8.7028202265,249,36,21845.449,45304.613859,9439.358,1969.153,6825.245032
2007,November,7.5374133792,246,34,22012.55,43426.57169,7126.509,1517.033,8407.606665
2007,December,6.4597393781,246,32,21238.11,43892.389342,5726.413,0,4694.687625
2008,January,5.8203362535,221,32,19989.074,41034.525736,4867.277,0,5838.991938
2008,February,5.190199034,208,26,18729.554,37933.195479,4344.095,0,4264.708278
2008,March,5.4242865839,194,24,17654.108,35816.354006,4063.807,0,4400.128288
2008,April,5.9411861458,204,30,18859.934,32361.632231,3577.611,2699.499,4716.968845
2008,May,7.2872561754,239,31,22098.937,28400.948598,4363.225,4682.385,3410.663
2008,June,8.5950140605,240,30,22580.942,27317.896479,5565.316,1935.938,7747.566375
2008,July,9.5179564896,237,29,22527.164,30775.539159,7832.094,876.25,4724.209125
2008,August,9.9570577373,238,32,23854.118,35812.264362,10347.605,2416.935,7583.708625
2008,September,9.7275924722,263,34,26462.313,39581.688029,10847.444,3976.297,7541.21228
2008,October,9.3580323905,263,33,27886.92,42115.004445,10400.115,2586.329,10498.147208
2008,November,7.8448536585,247,31,27076.291,41621.897047,7663.347,743.953,10170.346375
2008,December,6.4728892823,235,30,26070.42,42880.458861,6446.846,0,6296.37375
2009,January,5.6064997873,219,28,24782.356,40378.018581,4826.465,0,5838.991938
2009,February,5.0435378919,213,26,23730.197,39062.912158,4111.131,0,4264.708278
2009,March,4.8746574693,215,27,22943.572,38207.282245,4188.29,304.568,4400.128288
2009,April,5.5716112825,215,28,22103.151,38054.433699,4608.222,366.289,4716.968845
2009,May,7.1645211417,255,35,25855.678,40421.439512,6614.636,4662.461,3410.663
2009,June,8.2968598889,259,35,25944.339,40402.730057,8744.919,1948.931,7747.566375
2009,July,8.9556829137,254,33,24716.758,45791.785228,11829.899,0,4724.209125
2009,August,10.0692899295,267,33,25078.23,49454.427302,13920.855,2230.797,7583.708625
2009,September,10.5497885338,264,34,26112.587,52298.359618,12413.924,2473.894,7541.21228
2009,October,8.8268792194,253,32,24545.555,51944.621651,11824.017,574.572,10498.147208
2009,November,7.6804606124,236,34,23121.164,49893.07231,9884.896,488.804,10170.346375
2009,December,6.6688285582,212,28,21832.868,49416.366578,7373.737,0,6296.37375
2010,January,5.4821268411,203,26,20883.295,49574.116316,6284.601,0,5137.753875
2010,February,4.6884089856,191,24,19860.636,48787.442579,5122.015,0,4781.562877
2010,March,4.2087406318,191,24,19585.604,47027.349853,5004.431,1013.466,5919.383958
2010,April,5.0449811711,186,29,18276.487,40824.557867,3618.498,670.155,8447.810832
2010,May,6.4392796554,226,30,24018.456,36049.571564,5531.634,8096.062,9382.187085
2010,June,7.7628723754,209,27,22024.616,31053.900695,6564.009,307.997,9907.99002
2010,July,9.1694417481,194,26,20944.879,30664.558441,8379.361,790.446,7375.051875
2010,August,9.7069007723,212,28,24512.065,35468.415223,9807.309,4424.073,3470.374332
2010,September,9.3690283094,225,26,27528.804,37688.418626,10975.683,4615.426,7019.955447
2010,October,8.3467248451,225,28,27695.944,38165.931711,8515.788,1655.396,6759.396716
2010,November,7.0979419143,244,30,28551.692,39183.471415,6745.464,1942.699,4907.084439
2010,December,5.5664816772,250,29,27761.024,40374.345017,6133.849,210.4,3690.841815
2011,January,4.7358115221,242,27,26733.702,39797.153359,4282.18,0,3757.262409
2011,February,4.6231836228,239,26,26068.975,40674.355709,4157.688,0,2296.784325
2011,March,4.1420846087,235,25,25322.802,42200.659386,4685.034,0,2318.557023
2011,April,4.8861068444,226,25,24622.931,42069.231362,4900.218,376.891,4292.570034
2011,May,6.7287069397,253,33,30463.746,42717.609674,6626.255,7164.164,5551.366586
2011,June,8.2129552543,263,35,29686.923,45783.141316,9678.602,300.965,4762.085895
2011,July,8.8522363037,257,31,28392.434,49899.114575,14070.023,477.297,7450.502858
2011,August,8.9419723724,254,36,30280.372,58268.831783,16236.461,3417.289,6185.81196
2011,September,9.4817707276,255,39,32259.932,61980.322007,16095.505,3530.341,8752.635879
2011,October,9.0999385549,245,39,30864.316,63632.192093,12655.952,399.579,9050.32175
2011,November,8.2040443769,237,37,29869.428,64376.905171,10523.187,332.928,8068.923507
2011,December,7.2325960072,223,35,27941.973,62251.00793,9357.825,0,10160.592933
2012,January,6.0833619489,200,30,26132.664,61020.024659,8992.929,0,8219.998185
2012,February,5.1648966189,191,29,25264.88,57428.242353,7951.592,1418.975,10477.548585
2012,March,5.1854596038,172,28,22327.208,46548.95361,6361.652,82.143,15849.67068
2012,April,5.8310970152,182,32,24136.167,45797.931926,5283.436,1648.152,5266.503354
2012,May,7.0095151182,211,30,27311.004,41773.867149,6987.263,4745.493,10284.679494
2012,June,8.1480684515,219,28,26787.098,36567.412939,7987.648,2252.034,11260.323033
2012,July,9.0187043058,206,25,25002.482,38486.090582,10875.509,532.99,5189.906964
2012,August,9.7471845298,212,29,26598.624,40826.632481,12167.274,3396.666,7968.694332
2012,September,9.775817966,237,32,31358.122,43643.841407,11437.308,5867.035,6949.0533
2012,October,8.4249713521,244,33,32359.125,43280.565438,10824.138,3065.597,9056.9586
2012,November,7.2541513559,234,27,30573.179,42278.269235,8636.062,0,9276.919464
2012,December,5.8922915734,237,27,29301.315,42862.590071,6687.629,0,5396.442189
2013,January,5.3844375202,238,28,29268.978,44268.349123,5625.3,670.503,3255.942738
2013,February,4.7859911076,244,27,29365.033,46600.000092,4505.278,592.279,1391.742765
2013,March,4.4882136277,245,29,29168.905,47591.723879,4736.995,524.827,2873.322
2013,April,4.5581121968,257,30,30072.634,45656.835189,4756.038,2297.262,5805.790527
2013,May,5.9961495962,277,34,32768.03,47939.248754,7385.144,3737.71,4135.506759
2013,June,7.8314311997,277,33,32680.183,54198.589235,11812.373,695.125,4181.275293
2013,July,9.3581022567,276,34,31904.153,59964.958237,15293.311,1060.127,7094.796474
2013,August,9.9704801982,274,36,32595.84,65231.86706,19074.92,3211.297,9702.400245
2013,September,9.8397894379,252,34,32083.97,63991.9509,16754.356,2776.799,14186.360769
2013,October,8.5914169238,228,29,30683.072,60309.799766,14658.232,1916.491,14408.007606
2013,November,7.9129133682,206,27,28230.756,58767.885779,10789.593,4.656,9291.729675
2013,December,6.7665834217,199,26,26559.442,58871.9304,8983.92,0,6456.495633
2014,January,5.8985473916,185,25,24541.42,56165.128787,8156.323,0,9211.495806
2014,February,5.0348260907,171,23,22310.985,52080.445151,6822.959,0,9121.87677
2014,March,4.8815092895,160,24,21093.295,48260.077105,6336.051,800.243,9148.047843
2014,April,5.5525230488,166,30,21955.82,46999.168104,5893.942,2084.516,6338.415375
2014,May,6.9065679009,200,31,25934.077,39151.856203,6230.582,6142.731,13258.768908
2014,June,8.3971807369,196,27,25624.568,35155.19658,7015.224,2065.491,8702.381721
2014,July,9.2759442554,201,29,25741.896,41071.986257,10387.865,847.714,2755.57377
