year,month,averageSeaTemp,cages,localities,numberSalmon,biomass,feedConsumption,restock,withdrawals
2007,January,8.2559782219,387,55,19443.278,38508.428287,5409.877,0,5379.981196
2007,February,7.2329726211,374,54,18496.275,38088.391896,4605.889,0,3981.946198
2007,March,6.6179656039,345,47,17406.875,37113.771685,5147.426,185.839,4459.077977
2007,April,6.933214967,363,54,20230.072,35037.342266,4956.406,4213.458,4932.117012
2007,May,7.6411039908,385,53,21637.909,33426.892838,4915.607,3623.684,6628.577414
2007,June,8.3032920352,376,52,20933.903,28633.840906,5186.795,467.291,8044.92865
2007,July,9.4621484287,358,48,19104.251,27877.942337,6243.184,50,5840.597856
2007,August,10.7212787107,330,46,18565.199,31850.271352,7806.462,0,3933.049021
2007,September,10.3397530714,321,48,17542.835,32430.579918,8069.644,620.37,3038.00525
2007,October,10.09258042,350,52,19831.399,35490.740495,8095.16,3159.199,4180.860251
2007,November,8.7931862958,352,55,21680.525,38572.957655,6995.19,1920.878,4070.315125
2007,December,7.7426600508,335,53,20525.03,34877.929834,4999.93,809.4,5557.66425
2008,January,6.7787905258,322,51,19390.578,34165.68941,4195.026,0,5619.742684
2008,February,6.1755284954,315,48,19064.492,34075.313865,4208.72,0,3259.84975
2008,March,6.2123154767,285,42,17224.393,30220.212678,3622.459,0,3709.23975
2008,April,6.4817399405,283,45,17828.056,30124.395806,3978.337,1699.193,3873.023073
2008,May,7.4883009566,333,51,23865.268,31521.314006,5512.744,6999.703,4079.82
2008,June,8.5334058287,320,48,22872.374,30709.006503,6289.65,892.238,5412.652125
2008,July,9.9738103517,306,44,21459.341,30789.169583,7935.707,606.096,9340.66725
2008,August,10.728022352,295,45,20488.785,32061.125584,8605.804,253.938,5798.452476
2008,September,11.288558486,294,48,21053.45,32509.776687,8927.51,2342.914,5718.802125
2008,October,10.9989957718,320,53,23613.615,36519.411341,8871.198,3599.059,8461.00275
2008,November,9.236792746,325,53,24278.98,37511.57753,7791.763,1937.849,5493.38625
2008,December,7.8527041047,327,53,23852.334,39441.761772,6745.333,998.913,5778.0905
