year,month,Troms-averageTemp,Troms-cages,Troms-localities,Troms-numberSalmon,Troms-biomass,Troms-feedConsumption,Troms-restock,Troms-withdrawals,Finnmark-averageTemp,Finnmark-cages,Finnmark-localities,Finnmark-numberSalmon,Finnmark-biomass,Finnmark-feedConsumption,Finnmark-restock,Finnmark-withdrawals
2007,January,5.18,340,44,22990,49003,4930,0,9060.49,4.9763514215,147,20,7471.245,19550.103627,2026.361,0,2292.696375
2007,February,3.98,320,43,21833,46239,4038,0,5806.56,4.0014986482,140,19,7279.141,18858.588738,1333.956,0,2327.503166
2007,March,3.73,300,42,21414,42975,4024,824.93,5596.55,3.4593511128,126,18,6497.596,15917.849943,1030.633,0,3205.103875
2007,April,4.55,301,46,21449,40703,3729,1129.85,4830.81,4.0012314766,129,21,6796.742,14853.954311,1042.156,653.995,1911.79675
2007,May,5.76,341,53,24717,40759,5288,4773.02,4787.94,4.733843502,161,25,9980.504,13506.040121,1368.472,3682.077,2413.46275
2007,June,7.4,397,55,29430,40567,7782,5873.67,5047.32,5.8495567584,186,27,11010.096,13868.642796,2008.16,1277.703,1230.048459
2007,July,8.42,387,51,29047,44447,11959,1473.76,3677.62,6.4271994461,206,25,11627.848,15629.916407,3451.4,958.463,1052.17
2007,August,9.49,384,51,29140,51027,14935,1483.67,4263.28,7.3162389799,209,25,11656.155,19793.731835,5619.61,146.298,439.363
2007,September,9.53,387,52,32079,55541,13931,4138.16,6231.22,7.732562135,220,27,12269.606,23371.029585,5672.008,948.532,1221.80025
2007,October,8.61,390,53,31672,57665,13523,2537.9,8076.12,7.6438247474,216,27,11696.882,25689.357749,5528.209,0,2387.631375
2007,November,7.2,382,52,30571,57579,10671,1325.58,9275.73,6.6630387199,207,28,11110.067,26080.937837,4259.457,0,2699.205347
2007,December,5.81,369,51,29329,55113,6798,366.4,7624.13,5.6714755362,199,26,10944.35,25658.134392,2857.517,408,2706.829578
2008,January,4.66,333,46,25608,48012,5599,0,7668.01,4.7137641712,181,27,10209.468,23297.20353,2341.808,0,2916.557
2008,February,3.92,315,43,24983,44650,4611,0,4635.38,3.9506308346,171,26,9724.482,21551.372823,1790.985,0,3716.670836
2008,March,3.41,283,38,23087,41262,4076,0,8602.79,3.2420179355,143,23,8677.156,17089.725774,1444.982,0,3404.52625
2008,April,3.53,284,42,24120,39917,3730,1538.2,6463.43,3.0804859125,132,20,8288.958,15964.631434,1025.436,0,1899.228788
2008,May,4.91,332,51,27064,38416,4763,4313.85,5651.17,3.7718246012,170,28,10853.143,16330.439851,1445.532,2312.712,1168.34625
2008,June,6.68,377,49,31291,39248,6885,5977.49,4890.86,4.8336064869,214,30,14726.199,17507.328729,2737.825,4197.841,1768.678875
2008,July,7.93,400,51,32340,44438,11429,3011.88,4800.08,5.7981735853,247,32,16531.919,20608.065382,4409.675,2162.087,116.377875
2008,August,8.68,388,53,32282,51090,14823,1570.26,6889.09,6.48402151,256,32,17020.512,23465.822614,6033.277,1260.681,1409.633047
2008,September,8.83,407,58,35201,58007,15311,4294.8,12092.96,6.8653579139,269,33,18043.591,25347.845465,6020.716,1853.5,3292.666657
2008,October,8.6,413,57,36286,59674,14273,2862.8,11903.82,7.0704908947,261,34,17264.053,26890.605781,5424.004,0,3962.4156
