P, D, Q, MAPE
0, 0, 0, 39.411% 
0, 0, 1, 23.939% 
0, 1, 0, 23.339% 
0, 1, 1, 19.883% 
0, 1, 3, 16.613% 
0, 2, 0, 18.184% 
0, 2, 1, 18.940% 
0, 2, 2, 17.095% 
0, 2, 3, 18.631% 
1, 0, 0, 21.368% 
1, 0, 1, 18.767% 
1, 0, 2, 16.607% 
1, 0, 3, 15.773% 
1, 1, 0, 17.963% 
1, 1, 1, 18.592% 
1, 2, 0, 18.739% 
2, 0, 0, 16.135% 
2, 0, 1, 16.663% 
2, 0, 2, 14.625% 
2, 0, 3, 16.008% 
2, 1, 0, 18.734% 
2, 2, 0, 18.985% 
4, 1, 0, 16.003% 
4, 2, 0, 17.051% 
6, 1, 0, 13.771% 
6, 2, 0, 17.440% 
8, 2, 0, 15.559% 
