P, D, Q, MAPE
0, 0, 0, 29.695% 
0, 0, 1, 17.794% 
0, 1, 0, 15.456% 
0, 1, 1, 11.186% 
0, 1, 2, 9.923% 
0, 1, 3, 10.571% 
0, 2, 0, 10.489% 
0, 2, 1, 10.905% 
0, 2, 2, 10.842% 
0, 2, 3, nan% 
1, 0, 0, 14.588% 
1, 0, 1, 10.958% 
1, 0, 2, 9.365% 
1, 0, 3, 9.376% 
1, 1, 0, 10.490% 
1, 1, 1, 10.375% 
1, 1, 2, 11.905% 
1, 2, 0, 11.012% 
2, 0, 0, 7.444% 
2, 0, 1, 7.820% 
2, 0, 2, 7.642% 
2, 0, 3, 7.874% 
2, 1, 0, 10.201% 
2, 2, 0, 10.861% 
4, 0, 0, 7.695% 
4, 1, 0, 8.657% 
4, 2, 0, 11.379% 
6, 0, 0, 7.794% 
6, 1, 0, 7.264% 
6, 2, 0, 10.442% 
8, 0, 0, 6.811% 
8, 2, 0, 9.529% 
