year,month,averageSeaTemp,cages,localities,numberSalmon,biomass,feedConsumption,restock,withdrawals
2007,January,7.8484295046,286,48,26734.11,56941.471957,7792.197,0,8426.855728
2007,February,6.8910017324,263,43,25543.552,53911.275282,5712.05,356.933,9020.918489
2007,March,6.5247363587,272,45,26255.078,51121.670378,6771.544,2200.974,9701.944607
2007,April,6.8332655211,272,45,26202.421,51412.86526,7260.404,1271.727,7525.23554
2007,May,7.4299247805,313,54,29388.96,51417.275371,8159.495,4761.293,7478.192171
2007,June,7.9017704507,301,51,29105.706,49352.371728,8500.097,1995.114,9321.870315
2007,July,8.3962321135,287,49,28172.464,51660.640899,12108.405,603.257,8696.670809
2007,August,9.2435747958,289,49,29746.327,57653.652605,14633.829,3396.983,7638.550971
2007,September,9.0690702062,309,54,32338.453,62927.967494,15098.988,4492.125,5886.019858
2007,October,8.9975320025,315,53,34629.982,64924.897833,13895.945,4479.004,10820.395311
2007,November,8.4361076199,296,51,32969.741,63106.354344,10370.471,551.679,9434.470642
2007,December,7.4713497753,289,45,31487.102,61658.67058,7377.076,0,7653.080639
2008,January,6.8774090856,271,44,30003.204,60695.649256,6705.56,0,7289.928823
2008,February,6.2414747646,244,41,27727.803,54673.37873,5797.572,0,6421.663247
2008,March,6.4385503727,223,40,27475.152,51942.247227,5216.841,1198.784,11371.69385
2008,April,6.6102930325,216,41,26919.514,47944.493831,5389.779,961.021,10675.78048
2008,May,7.1672073451,262,48,32518.321,46269.99507,7028.091,7337.773,11714.185169
2008,June,7.8651213948,264,45,34882.052,44631.384197,8689.739,4555.315,5064.166872
2008,July,8.4374000016,266,46,33769.969,50668.211765,12009.963,414.47,4955.226457
2008,August,8.8538617199,279,48,34612.45,61163.702639,16888.821,2219.207,8402.432159
2008,September,9.2456131044,290,49,34918.454,66156.860322,16446.38,2349.864,11846.282402
2008,October,9.4904719457,316,54,37364.749,68389.775818,15438.322,4601.165,10832.523399
2008,November,8.6277324802,317,49,36233.395,69538.400281,12074.826,781.71,10787.368439
2008,December,7.508408749,283,45,33841.746,66211.102339,10013.371,90.96,10305.591217
2009,January,6.7432325769,266,44,32013.479,65450.94082,7878.716,0,7289.928823
2009,February,6.1978322502,256,42,30867.627,64269.715511,7567.927,397.348,6421.663247
2009,March,5.8976332101,254,43,30284.787,58649.188489,6814.092,1991.044,11371.69385
2009,April,6.3314228502,237,38,27639.512,52607.584633,6273.946,1576.658,10675.78048
2009,May,7.1285338537,293,48,34252.447,47574.518526,7144.351,8939.621,11714.185169
2009,June,7.6259888272,296,47,35663.514,51511.149353,10264.259,2366.695,5064.166872
2009,July,7.9880638162,300,45,35127.634,58561.71601,14046.348,1126.873,4955.226457
2009,August,9.2023627286,296,46,35243.556,63654.940734,16302.319,2329.551,8402.432159
2009,September,10.0157984554,313,51,41480.41,66493.010368,16572.488,8714.342,11846.282402
2009,October,9.086985849,324,51,43585.3,70141.266372,15411.612,4842.512,10832.523399
2009,November,8.5280168609,326,46,42189.769,71362.397475,13205.551,941.592,10787.368439
2009,December,7.8494105587,315,45,39975.262,69010.401065,10418.43,88.73,10305.591217
2010,January,6.4399370448,293,42,38161.336,65602.606797,7861.612,0,9326.074879
2010,February,5.8606163223,273,40,37955.502,57612.646612,5516.812,2092.61,11232.86351
2010,March,5.5499674025,241,38,36142.535,53487.034775,6029.272,0,8909.501271
2010,April,5.9882132819,244,44,36400.403,51873.819349,5887.758,1816.11,6347.301783
2010,May,6.6033097597,295,50,44671.663,57988.026072,8592.536,7995.453,2936.704032
2010,June,7.2802165665,308,50,43584.145,60492.49671,10744.618,2234.518,4968.247637
2010,July,8.2743434778,339,54,44808.8,71901.523874,17256.544,2878.158,3062.837217
2010,August,8.6095159386,347,54,44989.771,84419.984831,22927.535,2348.12,6565.793654
2010,September,8.5758265396,357,58,45713.768,90039.508139,23192.367,4001.208,12794.610914
2010,October,8.3987009732,357,57,46086.87,94126.786814,22274.007,3492.795,12437.481316
2010,November,7.8886576908,344,54,43077.971,91258.587667,17051.956,265.769,15317.3
2010,December,6.5860256157,336,56,40767.238,88803.082845,10739.424,0,11816.725104
2011,January,5.73211634,326,55,38941.462,87738.747258,9008.977,0,8558.60418
2011,February,5.6321934158,300,51,37909.595,82685.304163,8604.223,1457.537,11452.750089
2011,March,5.0841519132,273,49,34116.064,73706.824156,8234.864,861.785,11437.794801
2011,April,5.7122704993,286,53,36390.326,70136.242897,7971.862,4809.679,9263.169585
2011,May,6.690355965,312,59,43389.317,61919.541858,9893.017,9835.579,15420.588228
2011,June,7.2953485722,328,58,44618.946,59169.677526,12256.843,4721.824,12699.553672
2011,July,7.4444078984,323,56,44087.202,62379.427498,16604.805,2105.207,11014.687866
2011,August,7.7283257027,314,55,45706.105,66698.621184,19977.318,5211.339,11727.664473
2011,September,8.8846901211,339,60,52744.598,73681.554303,21811.302,9377.712,12006.297557
2011,October,9.2493253502,348,60,54976.292,79325.57823,20193.272,5043.772,11485.676427
