P, D, Q, MAPE
0, 0, 0, 38.017% 
0, 0, 1, 21.497% 
0, 1, 0, 20.934% 
0, 1, 1, 15.298% 
0, 1, 3, 13.109% 
0, 2, 0, 14.306% 
0, 2, 1, 14.126% 
0, 2, 2, 13.699% 
0, 2, 3, 14.583% 
1, 0, 0, 20.019% 
1, 0, 1, 14.607% 
1, 0, 2, 14.173% 
1, 0, 3, 12.947% 
1, 1, 0, 13.663% 
1, 2, 0, 14.044% 
2, 0, 0, 11.593% 
2, 0, 1, 11.948% 
2, 0, 2, 12.034% 
2, 1, 0, 13.877% 
2, 2, 0, 14.104% 
4, 0, 0, 12.291% 
4, 1, 0, 13.043% 
4, 2, 0, 13.871% 
6, 0, 0, 12.708% 
6, 1, 0, 12.744% 
6, 2, 0, 14.210% 
8, 2, 0, 13.485% 
